,number,card,card_type,type,Place,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
11,2,Sleight of Hand,,Spells,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
12,4,Summer Bloom,,Spells,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
14,4,Amulet of Vigor,,Artifacts,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
16,2,Hive Mind,,Enchantments,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
18,1,Boros Garrison,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
19,1,Cavern of Souls,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
20,1,Forest,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
21,3,Gemstone Mine,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
22,1,Golgari Rot Farm,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
23,3,Gruul Turf,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
24,1,Khalni Garden,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
25,1,Radiant Fountain,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
26,1,Selesnya Sanctuary,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
27,1,Slayers' Stronghold,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
28,1,"Sunhome, Fortress of the Legion",,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
29,1,Temple of Mystery,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
30,3,Tendo Ice Bridge,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
31,3,Tolaria West,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
32,1,Vesuva,,Lands,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
34,1,Engineered Explosives,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
35,1,Ghost Quarter,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
36,1,Pithing Needle,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
37,2,Pyroclasm,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
38,3,Boil,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
39,3,Leyline of Sanctity,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
40,1,"Sigarda, Host of Herons",,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
41,2,Thragtusk,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
42,1,Hornet Queen,,Sideboard,3rd,Amulet Bloom,Nick Rudh,220 tix,$ 634,332114,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
1,4,Gravecrawler,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
2,4,Hedron Crab,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
3,4,Lotleth Troll,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
4,1,Rotting Rats,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
5,4,Satyr Wayfinder,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
6,1,Stinkweed Imp,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
7,4,Vengevine,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
8,1,Golgari Grave-Troll,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
9,4,Gurmag Angler,,Creatures,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
11,1,Darkblast,,Spells,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
12,2,Stubborn Denial,,Spells,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
13,3,Abrupt Decay,,Spells,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
14,4,Tracker's Instincts,,Spells,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
15,2,Murderous Cut,,Spells,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
17,2,Breeding Pool,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
18,1,Darkslick Shores,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
19,1,Forest,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
20,2,Misty Rainforest,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
21,3,Overgrown Tomb,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
22,4,Polluted Delta,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
23,1,Stomping Ground,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
24,2,Swamp,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
25,4,Verdant Catacombs,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
26,1,Watery Grave,,Lands,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
28,1,Stubborn Denial,,Sideboard,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
29,3,Thoughtseize,,Sideboard,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
30,4,Ancient Grudge,,Sideboard,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
31,2,Memory's Journey,,Sideboard,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
32,3,Gnaw to the Bone,,Sideboard,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
33,1,Maelstrom Pulse,,Sideboard,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
34,1,Murderous Cut,,Sideboard,4th,Dredgevine,Justin Slone,167 tix,$ 748,332115,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
1,4,Simian Spirit Guide,,Creatures,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
3,3,Pact of Negation,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
4,1,Slaughter Pact,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
5,4,Angel's Grace,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
6,1,Conflagrate,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
7,2,Gitaxian Probe,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
8,4,Serum Visions,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
9,2,Sleight of Hand,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
10,2,Peer Through Depths,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
11,1,Lightning Storm,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
12,1,Mystical Teachings,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
13,4,Ad Nauseam,,Spells,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
15,4,Lotus Bloom,,Artifacts,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
16,4,Pentad Prism,,Artifacts,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
18,3,Phyrexian Unlife,,Enchantments,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
20,1,"Boseiju, Who Shelters All",,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
21,4,Gemstone Mine,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
22,1,Hallowed Fountain,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
23,1,Island,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
24,4,Marsh Flats,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
25,1,Plains,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
26,1,Seachrome Coast,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
27,1,Swamp,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
28,2,Temple of Deceit,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
29,2,Temple of Enlightenment,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
30,1,"Urborg, Tomb of Yawgmoth",,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
31,1,Watery Grave,,Lands,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
33,1,Tolaria West,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
34,1,Tormod's Crypt,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
35,1,Silence,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
36,1,Echoing Truth,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
37,3,Hurkyl's Recall,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
38,1,Drown in Sorrow,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
39,1,Laboratory Maniac,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
40,4,Leyline of Sanctity,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
41,1,Patrician's Scorn,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
42,1,Supreme Verdict,,Sideboard,5th,Ad Nauseam,Frank Zampano,179 tix,$ 651,332116,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
1,1,Spellskite,,Creatures,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
2,1,"Azusa, Lost but Seeking",,Creatures,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
3,1,Thragtusk,,Creatures,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
4,4,Primeval Titan,,Creatures,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
5,1,Sagu Mauler,,Creatures,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
7,2,Pact of Negation,,Spells,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
8,1,Slaughter Pact,,Spells,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
9,4,Summoner's Pact,,Spells,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
10,3,Ancient Stirrings,,Spells,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
11,4,Serum Visions,,Spells,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
12,4,Summer Bloom,,Spells,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
14,4,Amulet of Vigor,,Artifacts,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
16,3,Hive Mind,,Enchantments,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
18,1,Boros Garrison,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
19,1,Cavern of Souls,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
20,1,Forest,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
21,4,Gemstone Mine,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
22,1,Golgari Rot Farm,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
23,3,Gruul Turf,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
24,1,Island,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
25,1,Khalni Garden,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
26,1,Radiant Fountain,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
27,1,Selesnya Sanctuary,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
28,4,Simic Growth Chamber,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
29,1,Slayers' Stronghold,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
30,1,"Sunhome, Fortress of the Legion",,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
31,1,Temple of Mystery,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
32,1,Tendo Ice Bridge,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
33,3,Tolaria West,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
34,1,Vesuva,,Lands,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
36,1,Engineered Explosives,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
37,1,Ghost Quarter,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
38,2,Swan Song,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
39,3,Pyroclasm,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
40,3,Seal of Primordium,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
41,1,Sphinx's Revelation,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
42,1,Dragonlord Dromoka,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
43,1,Dragonlord Atarka,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
44,1,Hornet Queen,,Sideboard,6th,Amulet Bloom,Brandon Baker,202 tix,$ 502,332117,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
1,3,Spellskite,,Creatures,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
3,4,Ancient Stirrings,,Spells,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
4,4,Inquisition of Kozilek,,Spells,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
5,2,Surgical Extraction,,Spells,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
6,2,Thoughtseize,,Spells,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
7,2,Abrupt Decay,,Spells,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
9,4,Mox Opal,,Artifacts,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
10,4,Codex Shredder,,Artifacts,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
11,4,Ghoulcaller's Bell,,Artifacts,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
12,4,Lantern of Insight,,Artifacts,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
13,3,Pithing Needle,,Artifacts,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
14,2,Pyrite Spellbomb,,Artifacts,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
15,4,Ensnaring Bridge,,Artifacts,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
17,1,Ghirapur Aether Grid,,Enchantments,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
19,2,Academy Ruins,,Lands,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
20,1,Blackcleave Cliffs,,Lands,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
21,1,Copperline Gorge,,Lands,7th,Lantern Control,Jonathan Stock,472 tix,$ 989,332118,2015-10-18,States West Jordan,modern,states-west-jordan,states-west-jordan-2015-10-18
